taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
103	1		Phylum	Glaucophyta				
1013	103		Class	Glaucophyceae				
10193	1013		Order	Glaucocystales				
10194	10193		Family	Glaucocystaceae				

104	1		Phylum	Rhodophyta		1		
105		104	Phylum	Rhodophycota				
10195	104		Subdivision	Cyanidophytina				
1014	10195		Class	Cyanidiophyceae				
10196	1014		Order	Cyanidiales				
10197	10196		Family	Cyanidiaceae				
10198	10196		Family	Galdieriaceae				
10199	104		Subdivision	Eurhodophytina				
1015	10199		Class	Bangiophyceae		1		
10200	1015		Subclass	Bangiophycidae		1		
10201	10200		Order	Bangiales		1		
10202	10201		Family	Bangiaceae		1		
10203	10201		Family	Granufilaceae				
10204	10200		Order	Goniotrichales		1		
10205	10204		Family	Goniotrichaceae		1		
10206		10205	Family	Goniotricaceae		1		
1016	10199		Class	Florideophyceae		1		
10207		1016	Subclass	Florideophycidae		1		
10208	1016		Subclass	Ahnfeltiophycidae		1		
10209	10208		Order	Ahnfeltiales		1		
10210	10209		Family	Ahnfeltiaceae		1		
10211	1016		Subclass	Corallinophycidae		1		
10212	10211		Order	Corallinales		1		
10213	10212		Family	Corallinaceae		1		
10214	10212		Family	Hapalidiaceae		1		
10215	10212		Family	Sporolithaceae		1		
10216	10211		Order	Rhodogorgonales		1		
10217	10216		Family	Rhodogorgonaceae		1		
10218	1016		Subclass	Hildenbrandiophycidae		1		
10219	10218		Order	Hildenbrandiales		1		
10220	10219		Family	Hildenbrandiaceae		1		
10221	1016		Subclass	Nemaliophycidae		1		
10222	10221		Order	Entwisleiales				
10223	10222		Family	Entwisleiaceae				
10224	10221		Order	Nemaliales		1		
10225	10224		Family	Chaetangiaceae				
10226	10224		Family	Galaxauraceae		1		
10227	10224		Family	Helminthocladiaceae				
10228	10224		Family	Liagoraceae		1		
10229	10224		Family	Scinaiaceae		1		
10230	10221		Order	Rhodachlyales				
10231	10230		Family	Rhodachlyaceae				
10232	1016		Subclass	Rhodymeniophycidae		1		
10233	10232		Family	Acrochaetiaceae		1		
10234	10232		Order	Acrochaetiales		1		
10235	10232		Order	Acrosymphytales		1		
10236	10235		Family	Acrosymphytaceae		1		
10237	10232		Order	Balbianiales				
10238	10237		Family	Balbianiaceae				
10239	10232		Order	Balliales		1		
10240	10239		Family	Balliaceae		1		
10241	10232		Order	Batrachospermales		1		
10242	10241		Family	Batrachospermaceae				
10243	10241		Family	Lemaneaceae		1		
10244	10241		Family	Psilosiphonaceae				
10245	10232		Order	Bonnemaisoniales		1		
10246	10245		Family	Bonnemaisoniaceae		1		
10247	10245		Family	Naccariaceae		1		
10248	10232		Order	Ceramiales		1		
10249	10248		Family	Callithamniaceae				
10250	10248		Family	Ceramiaceae		1		
10251	10248		Family	Dasyaceae		1		
10252	10248		Family	Delesseriaceae		1		
10253	10248		Family	Inkyuleeaceae				
10254	10248		Family	Rhodomelaceae		1		
10255	10248		Family	Sarcomeniaceae		1		
10256	10248		Family	Spyridiaceae		1		
10257	10248		Family	Wrangeliaceae				
10258	10232		Order	Colaconematales		1		
10259	10258		Family	Colaconemataceae		1		
10260	10232		Order	Gelidiales		1		
10261	10260		Family	Gelidiaceae		1		
10262	10260		Family	Gelidiellaceae		1		
10263	10260		Family	Pterocladiaceae		1		
10264	10232		Order	Gigartinales		1		
10265	10264		Family	Acrotylaceae		1		
10266	10264		Family	Areschougiaceae		1		
10267	10264		Family	Blinksiaceae		1		
10268	10264		Family	Calosiphoniaceae		1		
10269	10264		Family	Catenellopsidaceae		1		
10270	10264		Family	Caulacanthaceae		1		
10271	10264		Family	Chondriellaceae		1		
10272	10264		Family	Chondrymeniaceae				
10273	10264		Family	Choreocolacaceae		1		
10274	10264		Family	Corynocystaceae		1		
10275	10264		Family	Crossocarpaceae		1		
10276	10264		Family	Cruoriaceae		1		
10277	10264		Family	Cubiculosporaceae		1		
10278	10264		Family	Cystocloniaceae		1		
10279	10264		Family	Dicranemataceae		1		
10280	10264		Family	Dumontiaceae		1		
10281	10264		Family	Endocladiaceae		1		
10282	10264		Family	Furcellariaceae		1		
10283	10264		Family	Gainiaceae		1		
10284	10264		Family	Gigartinaceae		1		
10285	10264		Family	Gloiosiphoniaceae		1		
10286	10264		Family	Haemeschariaceae		1		
10287	10264		Family	Hypneaceae		1		
10288	10264		Family	Kallymeniaceae		1		
10289	10264		Family	Mychodeaceae		1		
10290	10264		Family	Mychodeophyllaceae		1		
10291	10264		Family	Nizymeniaceae		1		
10292	10264		Family	Phacelocarpaceae		1		
10293	10264		Family	Phyllophoraceae		1		
10294		10293	Family	Petrocelidaceae		1		
10295	10264		Family	Polyidaceae		1		
10296	10264		Family	Pseudoanemoniaceae		1		
10297	10264		Family	Rhizophyllidaceae		1		
10298	10264		Family	Rissoellaceae		1		
10299	10264		Family	Sarcodiaceae		1		
10300	10264		Family	Schmiziellaceae				
10301	10264		Family	Solieriaceae		1		
10302	10264		Family	Sphaerococcaceae		1		
10303	10264		Family	Stictosporaceae		1		
10304	10264		Family	Tichocarpaceae		1		
10305	10264		Family	Wurdemanniaceae		1		
10306	10232		Order	Gracilariales		1		
10307	10306		Family	Gracilariaceae		1		
10308	10306		Family	Pterocladiophilaceae		1		
10309	10232		Order	Halymeniales		1		
10310	10309		Family	Halymeniaceae		1		
10311	10309		Family	Tsengiaceae				
10312	10232		Order	Nemastomatales		1		
10313	10312		Family	Nemastomataceae		1		
10314	10312		Family	Schizymeniaceae		1		
10315	10232		Order	Palmariales		1		
10316	10315		Family	Meiodiscaceae				
10317	10315		Family	Palmariaceae		1		
10318	10315		Family	Rhodophysemataceae		1		
10319	10315		Family	Rhodothamniellaceae		1		
10320	10232		Order	Peyssonneliales				
10321	10320		Family	Peyssonneliaceae		1		
10322		10321	Family	Peyssonnelliaceae				
10323	10232		Order	Pihiellales		1		
10324	10323		Family	Pihiellaceae		1		
10325	10232		Order	Plocamiales		1		
10326	10325		Family	Plocamiaceae		1		
10327	10232		Order	Rhodymeniales		1		
10328	10327		Family	Champiaceae		1		
10329	10327		Family	Faucheaceae		1		
10330	10327		Family	Fryeellaceae				
10331	10327		Family	Hymenocladiaceae				
10332	10327		Family	Lomentariaceae		1		
10333	10327		Family	Rhodymeniaceae		1		
10334	10232		Order	Sebdeniales		1		
10335	10334		Family	Sebdeniaceae		1		
10336	10232		Order	Thoreales				
10337	10336		Family	Thoreaceae				
10338	104		Subdivision	Metarhodophytina				
1017	10338		Class	Compsopogonophyceae		1		
10339	1017		Order	Compsopogonales		1		
10340	10339		Family	Boldiaceae				
10341	10339		Family	Compsopogonaceae		1		
10342	1017		Order	Erythropeltidales		1		
10343	10342		Family	Erythropeltidaceae		1		
10344	10342		Family	Erythrotrichiaceae		1		
10345	1017		Order	Rhodochaetales		1		
10346	10345		Family	Rhodochaetaceae		1		
1018	104		Class	Rhodophyceae		1		
10347	1016		Order	Cryptonemiales		1		
10348	10347		Family	Corynomorphaceae		1		
10349	10347		Family	Cryptonemiaceae				
10350	1016		Order	Sphaerococcales		1		
10351	104		Subdivision	Rhodophytina		1		
1019	10351		Class	Porphyridiophyceae				
10352	1019		Order	Porphyridiales		1		
10353	10352		Family	Phragmonemataceae		1		
10354	10352		Family	Porphyridiaceae		1		
1020	10351		Class	Rhodellophyceae		1		
10355	1020		Order	Dixoniellales				
10356	10355		Family	Dixoniellaceae				
10357	1020		Order	Glaucosphaerales				
10358	10357		Family	Glaucosphaeraceae				
10359	1020		Order	Rhodellales				
10360	10359		Family	Rhodellaceae				
