taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
582222		582181	Order	Trimastigida	None	None	None	None
562594		562592	Subphylum	Trichozoa	None	None	None	None
582173		562594	Superclass	Carpediemonadia	None	None	None	None
582182		582173	Class	Carpediemonadea	None	None	None	None
582223		582182	Order	Carpediemonadida	None	None	None	None
582174		562594	Superclass	Eopharyngia	None	None	None	None
562603		582174	Class	Retortamonadea	None	1	0	1
562605		562603	Order	Retortamonadida	None	1	0	1
562609		582174	Class	Trepomonadea	None	1	0	1
562604		562609	Subclass	Diplozoa	None	1	0	1
562612		562604	Order	Distomatida	None	1	0	1
582224		562604	Order	Giardiida	None	None	None	None
582204		562609	Subclass	Enteromonadia	None	None	None	None
582225		582204	Order	Enteromonadida	None	None	None	None
582175		562594	Superclass	Parabasalia	None	None	None	None
562596		582175	Class	Trichomonadea	None	1	0	1
582226		562596	Order	Lophomonadida	None	None	None	None
582227		562596	Order	Spirotrichonymphida	None	None	None	None
562597		562596	Order	Trichomonadida	None	1	0	1
582183		582175	Class	Trichonymphea	None	None	None	None
582228		582183	Order	Trichonymphida	None	None	None	None
451648		536210	Phylum	Percolozoa	None	None	None	None
582165		451648	Subphylum	Pharyngomonada	None	None	None	None
582184		582165	Class	Pharyngomonadea	None	None	None	None
582229		582184	Order	Pharyngomonadida	None	None	None	None
582166		451648	Subphylum	Tetramitia	None	None	None	None
451649		582166	Class	Heterolobosea	None	None	None	None
582230		451649	Order	Acrasida	None	None	None	None
1316		451649	Order	Schizopyrenida	None	1	None	None
582185		582166	Class	Lyromonadea	None	None	None	None
582231		582185	Order	Lyromonadida	None	None	None	None
582186		582166	Class	Percolatea	None	None	None	None
582232		582186	Order	Percolomonadida	None	None	None	None
582233		582186	Order	Pseudociliatida	None	None	None	None
146222		5	Phylum	Flagellates	None	1	None	None
378496		146222	Order	Silicoflagellida	None	1	None	None
1283		5	Phylum	Granuloreticulosa	None	1	None	None
391855		5	Phylum	Haplosporidia	None	None	None	None
146194		5	Phylum	Haptomonada	None	1	None	None
22173		5	Phylum	Labyrinthulata	None	1	None	None
22191		22173	Class	Labyrinthulomycetes	None	1	None	None
22600		5	Phylum	Myxospora	None	1	None	None
146272		22600	Class	Actinomyxea	None	1	None	None
146273		22600	Class	Actinosporea	None	1	None	None
146234		5	Phylum	Phaeophycota	None	1	None	None
829		5	Phylum	Phaeophyta	None	1	None	None
730531		5	Phylum	Picozoa	None	1	None	None
730532		730531	Class	Picomonadea	None	1	None	None
730533		730532	Order	Picomonadida	None	1	None	None
